strategy,split,bars,net_bps_per_bar,gross_bps_per_bar,cost_bps_per_bar,sharpe_net,sharpe_gross,ann_return_pct,max_dd_pct,turnover_per_bar,breakeven_cost_bps,p_value,family,fee_model,hold,lookback,top_n,channel
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=1",train,3240,-9.710037647574627,3.565193833906856,13.275231481481484,-4.29069010431388,1.5766414986167425,-212.6498244818843,-347.3701883745561,1.4303086419753088,2.4926045535061525,1.0,H3 短期リバーサル(横断),taker,1,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=1",test,2111,-11.638738108018538,3.9837867617114484,15.622524869729986,-4.578467201011259,1.5671515537817284,-254.88836456560597,-264.22264183533804,1.6708668877309334,2.3842633970211127,1.0,H3 短期リバーサル(横断),taker,1,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=1",full,5399,-10.17012829607989,4.037900968598756,14.208029264678645,-4.2767472008887975,1.6988441573129627,-222.72580968414957,-553.66329566173,1.5273939618447863,2.643653876778313,1.0,H3 短期リバーサル(横断),taker,1,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=1",train,3240,-4.145153388315366,3.565193833906856,7.710347222222221,-1.8330082932708804,1.5766414986167425,-90.77885920410652,-183.3071078947621,1.4303086419753088,2.4926045535061525,0.98375,H3 短期リバーサル(横断),half-maker,1,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=1",test,2111,-5.080625838951743,3.9837867617114484,9.064412600663193,-1.998742422280016,1.5671515537817284,-111.26570587304316,-140.49699968193178,1.6708668877309334,2.3842633970211127,0.97525,H3 短期リバーサル(横断),half-maker,1,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=1",full,5399,-4.211659135124156,4.037900968598756,8.24956010372291,-1.7719110894010637,1.6988441573129627,-92.23533505921903,-237.19391193798728,1.5273939618447863,2.643653876778313,0.996,H3 短期リバーサル(横断),half-maker,1,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=1",train,3240,1.4197308709438943,3.565193833906856,2.1454629629629625,0.6279137183246986,1.5766414986167425,31.09210607367128,-70.97512543442639,1.4303086419753088,2.4926045535061525,0.2085,H3 短期リバーサル(横断),maker-only(理論上限),1,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=1",test,2111,1.4774864301150494,3.9837867617114484,2.5063003315963988,0.5812388679560514,1.5671515537817284,32.356952819519584,-66.40320860610547,1.6708668877309334,2.3842633970211127,0.2735,H3 短期リバーサル(横断),maker-only(理論上限),1,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=1",full,5399,1.7468100258315766,4.037900968598756,2.2910909427671786,0.7349841420366827,1.6988441573129627,38.255139565711524,-70.97512543442639,1.5273939618447863,2.643653876778313,0.1185,H3 短期リバーサル(横断),maker-only(理論上限),1,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=2",train,3240,-5.917620766939354,0.7621168873816337,6.679737654320988,-2.605499619260714,0.33594754113222336,-129.59589479597184,-244.99769469940756,0.7189506172839508,1.060040660735165,0.99725,H3 短期リバーサル(横断),taker,2,1.0,5.0,
"H3 短期リバーサル(横断) {'lookback': 1, 'top_n': 5} hold=2",test,2111,-6.708828126952441,1.2148810156340109,7.923709142586452,-2.616496803373137,0.47499065240661226,-146.92333598025846,-145.25329886501405,0.8432970156324018,1.4406324143373763,0.99675,H3 短期リバーサル(横断),taker,2,1.0,5.0,
